id_delegacia,nome_departamento,nome_seccional,delegacia,nome_seccional_circ,nome_delegacia_circ
10004,DIRD - DEPTO IDENT.REG.DIV,DIV.POL.PORTO/AERO/PROT.TURIS-DECADE,06º D.P. METROPOLITANO,DEL.SEC.1º CENTRO,03º D.P. CAMPOS ELISEOS
10007,DIRD - DEPTO IDENT.REG.DIV,DIV.POL.PORTO/AERO/PROT.TURIS-DECADE,02º D.P. AEROP/TUR-CONGONHAS,DEL.SEC.2º SUL,27º D.P.  IBIRAPUERA
10008,DIRD - DEPTO IDENT.REG.DIV,DIV.POL.PORTO/AERO/PROT.TURIS-DECADE,01º D.P. ATEND.TURISTA-DEATUR,DEL.SEC.1º CENTRO,01º D.P. SE
10100,DECAP,DEL.SEC.1º CENTRO,DEL.SEC.1ª CENTRO,DEL.SEC.1º CENTRO,03º D.P. CAMPOS ELISEOS
10101,DECAP,DEL.SEC.1º CENTRO,01º D.P. SE,DEL.SEC.1º CENTRO,78º D.P. JARDINS
10102,DECAP,DEL.SEC.1º CENTRO,02º D.P. BOM RETIRO,DEL.SEC.1º CENTRO,03º D.P. CAMPOS ELISEOS
10103,DECAP,DEL.SEC.1º CENTRO,03º D.P. CAMPOS ELISEOS,DEL.SEC.8º SAO MATEUS,49º D.P.  SAO MATEUS
10104,DECAP,DEL.SEC.1º CENTRO,04º D.P. CONSOLAÇÃO,DEL.SEC.1º CENTRO,12º D.P. PARI
10105,DECAP,DEL.SEC.1º CENTRO,05º D.P. ACLIMACAO,DEL.SEC.1º CENTRO,06º D.P. CAMBUCI
10106,DECAP,DEL.SEC.1º CENTRO,06º D.P. CAMBUCI,DEL.SEC.1º CENTRO,06º D.P. CAMBUCI
10108,DECAP,DEL.SEC.1º CENTRO,08º D.P. BRAS,DEL.SEC.1º CENTRO,12º D.P. PARI
10109,DECAP,DEL.SEC.1º CENTRO,01ª DEL.DEF.MUL. CENTRO,DEL.SEC.1º CENTRO,05º D.P. ACLIMACAO
10111,DECAP,DEL.SEC.1º CENTRO,DEL.PROTECAO IDOSO- 1ª SEC.,DEL.SEC.5º LESTE,81º D.P. BELEM
10112,DECAP,DEL.SEC.1º CENTRO,12º D.P. PARI,DEL.SEC.1º CENTRO,12º D.P. PARI
10200,DECAP,DEL.SEC.2º SUL,DEL.SEC.2ª SUL,DEL.SEC.2º SUL,83º D.P. PARQUE BRISTOL
10202,DECAP,DEL.SEC.2º SUL,02ª DEL.DEF.MUL. SUL,DEL.SEC.2º SUL,83º D.P. PARQUE BRISTOL
10204,DECAP,DEL.SEC.2º SUL,DEL.PROTECAO IDOSO- 2ª SEC.,DEL.SEC.1º CENTRO,06º D.P. CAMBUCI
10210,DECAP,DEL.SEC.6º SANTO AMARO,DEL.SEC.6ª SANTO AMARO,DEL.SEC.6º SANTO AMARO,80º D.P. VILA JOANIZA
10211,DECAP,DEL.SEC.6º SANTO AMARO,11º D.P. SANTO AMARO,DEL.SEC.1º CENTRO,01º D.P. SE
10212,DECAP,DEL.SEC.6º SANTO AMARO,DEL.PROTECAO IDOSO- 6ª SEC.,DEL.SEC.6º SANTO AMARO,43º D.P.  CIDADE ADEMAR
10216,DECAP,DEL.SEC.2º SUL,16º D.P. VILA CLEMENTINO,DEL.SEC.2º SUL,16º D.P. VILA CLEMENTINO
10217,DECAP,DEL.SEC.2º SUL,17º D.P.  DOUTOR ALDO GALIANO,DEL.SEC.2º SUL,17º D.P.  DOUTOR ALDO GALIANO
10225,DECAP,DEL.SEC.6º SANTO AMARO,25º D.P.  PARELHEIROS,DEL.SEC.6º SANTO AMARO,25º D.P.  PARELHEIROS
10226,DECAP,DEL.SEC.2º SUL,26º D.P.  SACOMA,DEL.SEC.2º SUL,26º D.P.  SACOMA
10229,DECAP,DEL.SEC.5º LESTE,29º D.P.  VILA PRUDENTE,DEL.SEC.5º LESTE,29º D.P.  VILA PRUDENTE
10235,DECAP,DEL.SEC.2º SUL,35º D.P.  JABAQUARA,DEL.SEC.2º SUL,35º D.P.  JABAQUARA
10236,DECAP,DEL.SEC.2º SUL,36º D.P.  VILA MARIANA,DEL.SEC.2º SUL,36º D.P.  VILA MARIANA
10241,DECAP,DEL.SEC.3º OESTE,37º D.P.  CAMPO LIMPO,DEL.SEC.3º OESTE,37º D.P.  CAMPO LIMPO
10243,DECAP,DEL.SEC.6º SANTO AMARO,43º D.P.  CIDADE ADEMAR,DEL.SEC.6º SANTO AMARO,43º D.P.  CIDADE ADEMAR
10247,DECAP,DEL.SEC.6º SANTO AMARO,47º D.P.  CAPAO REDONDO,DEL.SEC.6º SANTO AMARO,47º D.P.  CAPAO REDONDO
10248,DECAP,DEL.SEC.6º SANTO AMARO,48º D.P.  CIDADE DUTRA,DEL.SEC.6º SANTO AMARO,48º D.P.  CIDADE DUTRA
10302,DECAP,DEL.SEC.3º OESTE,03 DEL.DEF.MUL. OESTE,DEL.SEC.3º OESTE,75º D.P. JARDIM ARPOADOR
10304,DECAP,DEL.SEC.3º OESTE,DEL.PROTECAO IDOSO- 3ª SEC.,DEL.SEC.3º OESTE,23º D.P.  PERDIZES
10307,DECAP,DEL.SEC.3º OESTE,07º D.P. LAPA,DEL.SEC.3º OESTE,07º D.P. LAPA
10308,DECAP,DEL.SEC.5º LESTE,52º D.P.  PARQUE S.JORGE,DEL.SEC.5º LESTE,52º D.P.  PARQUE S.JORGE
10309,DECAP,DEL.SEC.8º SAO MATEUS,55º D.P.  PARQUE S.RAFAEL,DEL.SEC.8º SAO MATEUS,55º D.P.  PARQUE S.RAFAEL
10310,DECAP,DEL.SEC.5º LESTE,56º D.P.  VILA ALPINA,DEL.SEC.5º LESTE,56º D.P.  VILA ALPINA
10311,DECAP,DEL.SEC.5º LESTE,58º D.P. VILA FORMOSA,DEL.SEC.5º LESTE,31º D.P.  VILA CARRAO
10312,DECAP,DEL.SEC.7º ITAQUERA,59º D.P. JARDIM DOS IPES,DEL.SEC.7º ITAQUERA,59º D.P. JARDIM DOS IPES
10314,DECAP,DEL.SEC.3º OESTE,14º D.P. PINHEIROS,DEL.SEC.3º OESTE,51º D.P.  RIO PEQUENO
10315,DECAP,DEL.SEC.3º OESTE,15º D.P. DR. LUC. H BEIGUELMAN,DEL.SEC.3º OESTE,15º D.P. DR. LUC. H BEIGUELMAN
10323,DECAP,DEL.SEC.3º OESTE,23º D.P.  PERDIZES,DEL.SEC.1º CENTRO,03º D.P. CAMPOS ELISEOS
10325,DECAP,DEL.SEC.7º ITAQUERA,62º D.P. ERMELINO MATARAZZO,DEL.SEC.5º LESTE,10º D.P. PENHA DE FRANCA
10326,DECAP,DEL.SEC.7º ITAQUERA,63º D.P. VILA JACUI,DEL.SEC.7º ITAQUERA,64º D.P. CID.AE CARVALHO
10328,DECAP,DEL.SEC.7º ITAQUERA,64º D.P. CID.AE CARVALHO,DEL.SEC.7º ITAQUERA,64º D.P. CID.AE CARVALHO
